"UF";"Municipio";"Codigo";"Ano";"Robson";"cesarea_antes_do_parto";"Nascidos"
"AC";"EPITACIOLANDIA";"120025";"2016";"2";"3";"2"
"AC";"EPITACIOLANDIA";"120025";"2016";"4";"1";"10"
"AC";"EPITACIOLANDIA";"120025";"2016";"4";"2";"3"
"AC";"EPITACIOLANDIA";"120025";"2016";"4";"3";"4"
"AC";"EPITACIOLANDIA";"120025";"2017";"2";"1";"6"
"AC";"EPITACIOLANDIA";"120025";"2017";"2";"3";"1"
"AC";"EPITACIOLANDIA";"120025";"2017";"4";"1";"5"
"AC";"EPITACIOLANDIA";"120025";"2017";"4";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2017";"4";"3";"9"
"AC";"EPITACIOLANDIA";"120025";"2018";"2";"1";"5"
"AC";"EPITACIOLANDIA";"120025";"2018";"2";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2018";"2";"3";"3"
"AC";"EPITACIOLANDIA";"120025";"2018";"4";"1";"6"
"AC";"EPITACIOLANDIA";"120025";"2018";"4";"2";"2"
"AC";"EPITACIOLANDIA";"120025";"2018";"4";"3";"4"
"AC";"EPITACIOLANDIA";"120025";"2019";"2";"1";"9"
"AC";"EPITACIOLANDIA";"120025";"2019";"2";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2019";"2";"3";"2"
"AC";"EPITACIOLANDIA";"120025";"2019";"4";"1";"8"
"AC";"EPITACIOLANDIA";"120025";"2019";"4";"2";"2"
"AC";"EPITACIOLANDIA";"120025";"2019";"4";"3";"6"
"AC";"EPITACIOLANDIA";"120025";"2020";"2";"1";"8"
"AC";"EPITACIOLANDIA";"120025";"2020";"2";"2";"2"
"AC";"EPITACIOLANDIA";"120025";"2020";"2";"3";"1"
"AC";"EPITACIOLANDIA";"120025";"2020";"4";"1";"8"
"AC";"EPITACIOLANDIA";"120025";"2020";"4";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2020";"4";"3";"3"
"AC";"EPITACIOLANDIA";"120025";"2021";"2";"1";"11"
"AC";"EPITACIOLANDIA";"120025";"2021";"2";"2";"1"
"AC";"EPITACIOLANDIA";"120025";"2021";"2";"3";"1"
"AC";"EPITACIOLANDIA";"120025";"2021";"4";"1";"5"
"AC";"EPITACIOLANDIA";"120025";"2021";"4";"2";"4"
"AC";"EPITACIOLANDIA";"120025";"2021";"4";"3";"4"
"AC";"FEIJO";"120030";"2010";"2";"1";"1"
"AC";"FEIJO";"120030";"2011";"2";"2";"1"
"AC";"FEIJO";"120030";"2011";"2";"3";"1"
"AC";"FEIJO";"120030";"2011";"4";"2";"1"
"AC";"FEIJO";"120030";"2011";"4";"3";"1"
"AC";"FEIJO";"120030";"2012";"2";"3";"3"
"AC";"FEIJO";"120030";"2012";"2";"9";"2"
"AC";"FEIJO";"120030";"2012";"4";"3";"10"
"AC";"FEIJO";"120030";"2012";"4";"9";"1"
"AC";"FEIJO";"120030";"2014";"2";NA;"6"
"AC";"FEIJO";"120030";"2014";"2";"3";"3"
"AC";"FEIJO";"120030";"2014";"4";NA;"6"
"AC";"FEIJO";"120030";"2014";"4";"1";"1"
"AC";"FEIJO";"120030";"2014";"4";"2";"1"
"AC";"FEIJO";"120030";"2014";"4";"3";"1"
"AC";"FEIJO";"120030";"2015";"2";NA;"7"
"AC";"FEIJO";"120030";"2015";"2";"1";"1"
"AC";"FEIJO";"120030";"2015";"2";"9";"6"
"AC";"FEIJO";"120030";"2015";"4";NA;"19"
"AC";"FEIJO";"120030";"2015";"4";"3";"1"
"AC";"FEIJO";"120030";"2015";"4";"9";"5"
"AC";"FEIJO";"120030";"2016";"2";"1";"3"
"AC";"FEIJO";"120030";"2016";"2";"2";"2"
"AC";"FEIJO";"120030";"2016";"2";"3";"1"
"AC";"FEIJO";"120030";"2016";"2";"9";"2"
"AC";"FEIJO";"120030";"2016";"4";"1";"3"
"AC";"FEIJO";"120030";"2016";"4";"2";"1"
"AC";"FEIJO";"120030";"2016";"4";"3";"10"
"AC";"FEIJO";"120030";"2016";"4";"9";"1"
"AC";"FEIJO";"120030";"2017";"2";"1";"3"
"AC";"FEIJO";"120030";"2017";"2";"2";"4"
"AC";"FEIJO";"120030";"2017";"2";"3";"12"
"AC";"FEIJO";"120030";"2017";"4";"1";"6"
"AC";"FEIJO";"120030";"2017";"4";"2";"2"
"AC";"FEIJO";"120030";"2017";"4";"3";"54"
"AC";"FEIJO";"120030";"2018";"2";"1";"12"
"AC";"FEIJO";"120030";"2018";"2";"2";"4"
"AC";"FEIJO";"120030";"2018";"2";"3";"18"
"AC";"FEIJO";"120030";"2018";"4";"1";"9"
"AC";"FEIJO";"120030";"2018";"4";"2";"2"
"AC";"FEIJO";"120030";"2018";"4";"3";"19"
"AC";"FEIJO";"120030";"2019";"2";"1";"8"
"AC";"FEIJO";"120030";"2019";"2";"3";"10"
"AC";"FEIJO";"120030";"2019";"4";"1";"11"
"AC";"FEIJO";"120030";"2019";"4";"2";"3"
"AC";"FEIJO";"120030";"2019";"4";"3";"6"
"AC";"FEIJO";"120030";"2020";"2";"1";"6"
"AC";"FEIJO";"120030";"2020";"2";"2";"1"
"AC";"FEIJO";"120030";"2020";"2";"3";"3"
"AC";"FEIJO";"120030";"2020";"4";"1";"14"
"AC";"FEIJO";"120030";"2020";"4";"2";"1"
"AC";"FEIJO";"120030";"2020";"4";"3";"7"
"AC";"FEIJO";"120030";"2021";"2";"1";"19"
"AC";"FEIJO";"120030";"2021";"2";"3";"9"
"AC";"FEIJO";"120030";"2021";"4";"1";"16"
"AC";"FEIJO";"120030";"2021";"4";"2";"1"
"AC";"FEIJO";"120030";"2021";"4";"3";"10"
"AC";"JORDAO";"120032";"2010";"2";"2";"1"
"AC";"JORDAO";"120032";"2010";"4";"2";"1"
"AC";"JORDAO";"120032";"2011";"2";"3";"3"
"AC";"JORDAO";"120032";"2011";"4";"3";"9"
"AC";"JORDAO";"120032";"2012";"4";"3";"11"
"AC";"JORDAO";"120032";"2014";"2";NA;"6"
"AC";"JORDAO";"120032";"2014";"2";"3";"1"
"AC";"JORDAO";"120032";"2014";"4";NA;"13"
"AC";"JORDAO";"120032";"2014";"4";"3";"3"
"AC";"JORDAO";"120032";"2015";"2";NA;"6"
"AC";"JORDAO";"120032";"2015";"4";NA;"7"
"AC";"JORDAO";"120032";"2016";"2";"3";"2"
"AC";"JORDAO";"120032";"2016";"4";"3";"3"
"AC";"JORDAO";"120032";"2017";"2";"3";"4"
"AC";"JORDAO";"120032";"2017";"2";"9";"1"
"AC";"JORDAO";"120032";"2017";"4";"2";"1"
"AC";"JORDAO";"120032";"2017";"4";"3";"5"
"AC";"JORDAO";"120032";"2018";"2";"1";"2"
