"UF";"Municipio";"Codigo";"Ano";"Robson";"parto_induzido";"Nascidos"
"AC";"PLACIDO DE CASTRO";120038;2010;4;1;8
"AC";"PLACIDO DE CASTRO";120038;2011;2;2;1
"AC";"PLACIDO DE CASTRO";120038;2011;4;NA;1
"AC";"PLACIDO DE CASTRO";120038;2011;4;1;6
"AC";"PLACIDO DE CASTRO";120038;2012;2;1;12
"AC";"PLACIDO DE CASTRO";120038;2012;4;1;4
"AC";"PLACIDO DE CASTRO";120038;2014;2;1;3
"AC";"PLACIDO DE CASTRO";120038;2014;2;2;1
"AC";"PLACIDO DE CASTRO";120038;2014;4;1;5
"AC";"PLACIDO DE CASTRO";120038;2014;4;2;1
"AC";"PLACIDO DE CASTRO";120038;2015;2;1;11
"AC";"PLACIDO DE CASTRO";120038;2015;4;1;9
"AC";"PLACIDO DE CASTRO";120038;2016;2;1;2
"AC";"PLACIDO DE CASTRO";120038;2016;2;2;2
"AC";"PLACIDO DE CASTRO";120038;2016;4;1;10
"AC";"PLACIDO DE CASTRO";120038;2016;4;2;1
"AC";"PLACIDO DE CASTRO";120038;2017;4;1;4
"AC";"PLACIDO DE CASTRO";120038;2018;2;1;3
"AC";"PLACIDO DE CASTRO";120038;2018;2;2;3
"AC";"PLACIDO DE CASTRO";120038;2018;4;1;7
"AC";"PLACIDO DE CASTRO";120038;2018;4;2;3
"AC";"PLACIDO DE CASTRO";120038;2019;2;1;4
"AC";"PLACIDO DE CASTRO";120038;2019;2;2;21
"AC";"PLACIDO DE CASTRO";120038;2019;4;1;14
"AC";"PLACIDO DE CASTRO";120038;2019;4;2;6
"AC";"PLACIDO DE CASTRO";120038;2020;2;1;15
"AC";"PLACIDO DE CASTRO";120038;2020;2;2;3
"AC";"PLACIDO DE CASTRO";120038;2020;4;1;25
"AC";"PLACIDO DE CASTRO";120038;2020;4;2;2
"AC";"PLACIDO DE CASTRO";120038;2021;2;1;5
"AC";"PLACIDO DE CASTRO";120038;2021;2;2;14
"AC";"PLACIDO DE CASTRO";120038;2021;2;9;1
"AC";"PLACIDO DE CASTRO";120038;2021;4;1;11
"AC";"PLACIDO DE CASTRO";120038;2021;4;2;3
"AC";"PORTO ACRE";120080;2010;2;1;3
"AC";"PORTO ACRE";120080;2010;4;1;3
"AC";"PORTO ACRE";120080;2011;2;1;2
"AC";"PORTO ACRE";120080;2011;2;2;1
"AC";"PORTO ACRE";120080;2011;2;9;1
"AC";"PORTO ACRE";120080;2011;4;1;3
"AC";"PORTO ACRE";120080;2012;2;1;2
"AC";"PORTO ACRE";120080;2012;4;1;6
"AC";"PORTO ACRE";120080;2014;2;1;5
"AC";"PORTO ACRE";120080;2014;4;1;6
"AC";"PORTO ACRE";120080;2014;4;2;1
"AC";"PORTO ACRE";120080;2015;2;1;6
"AC";"PORTO ACRE";120080;2015;2;2;2
"AC";"PORTO ACRE";120080;2015;4;1;22
"AC";"PORTO ACRE";120080;2016;2;1;4
"AC";"PORTO ACRE";120080;2016;2;2;2
"AC";"PORTO ACRE";120080;2016;4;1;14
"AC";"PORTO ACRE";120080;2016;4;2;1
"AC";"PORTO ACRE";120080;2017;2;1;2
"AC";"PORTO ACRE";120080;2017;2;2;2
"AC";"PORTO ACRE";120080;2017;4;1;2
"AC";"PORTO ACRE";120080;2018;2;1;5
"AC";"PORTO ACRE";120080;2018;2;2;9
"AC";"PORTO ACRE";120080;2018;4;1;3
"AC";"PORTO ACRE";120080;2018;4;2;5
"AC";"PORTO ACRE";120080;2019;2;1;10
"AC";"PORTO ACRE";120080;2019;2;2;13
"AC";"PORTO ACRE";120080;2019;4;1;12
"AC";"PORTO ACRE";120080;2019;4;2;7
"AC";"PORTO ACRE";120080;2020;2;1;19
"AC";"PORTO ACRE";120080;2020;2;2;3
"AC";"PORTO ACRE";120080;2020;4;1;25
"AC";"PORTO ACRE";120080;2020;4;2;3
"AC";"PORTO ACRE";120080;2021;2;1;10
"AC";"PORTO ACRE";120080;2021;2;2;13
"AC";"PORTO ACRE";120080;2021;2;9;1
"AC";"PORTO ACRE";120080;2021;4;1;13
"AC";"PORTO ACRE";120080;2021;4;2;5
